PID        Name                          
----------------------------------------
0          System Idle Process           
4          System                        
176        Registry                      
648        smss.exe                      
800        elevation_service.exe         
1016       csrss.exe                     
1032       wininit.exe                   
1040       csrss.exe                     
1076       FileSyncHelper.exe            
1100       winlogon.exe                  
